"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845634322530443264,9b9e0a712c25959b,2021-05-22,9,76.17,30,8.83,2,1.20,0.95
845625169187577856,55266cd10f772a0e,2021-05-22,14,79.57,51,22.59,6,3.33,2.59
845426255565426688,811f32cd9831a5a8,2021-05-21,6,98.08,19,9.95,4,4.16,0.78
845359463111991297,95a8817a76234ba7,2021-05-21,9,85.00,34,12.94,5,2.47,1.20
845307348324593664,72b8c078774cc76b,2021-05-21,4,98.81,8,25.13,1,3.49,0.60
845308370090602496,9826395f59820e19,2021-05-21,8,69.19,18,6.11,5,3.74,1.04
845309215094218752,5b3e9a2331a5563e,2021-05-21,10,221.22,28,19.61,6,2.60,2.76
845261368999157760,9a28110987fb71c7,2021-05-21,1,160.00,12,20.42,2,3.30,0.41
845263913521655813,f0ec70dbb7a86679,2021-05-21,24,54.65,76,7.95,17,1.84,7.46
845269784886251520,8d07815d9bd8f052,2021-05-21,16,180.84,39,25.36,6,3.49,3.88
845273207197544448,5423af142ba3d915,2021-05-21,34,70.88,121,8.45,26,2.59,3.43
845702935357952000,611bb494a6a58841,2021-05-22,16,99.17,47,9.12,7,3.08,2.02
845701529488470019,8dec724124cc63e2,2021-05-22,50,35.67,208,8.62,14,3.33,7.62
845698836047208448,e78f97a761ef734c,2021-05-22,37,70.14,77,8.38,10,3.33,6.74
845273043689152513,225ce4075ee4bac9,2021-05-21,10,67.36,24,9.50,2,2.64,1.65
845636069771972608,415519bd6e0e2dd2,2021-05-22,9,54.78,21,5.71,3,3.80,0.61
845632706441785346,32df7a8b26cb8a09,2021-05-22,2,68.75,8,3.75,1,3.08,0.17
845327809614061568,a99678108bbbb36a,2021-05-21,17,272.57,28,11.68,2,3.30,4.96
845282356679151616,29299f1650e4038e,2021-05-21,8,134.50,24,18.75,1,3.49,1.53
845266117745848321,cc5578ec60fe3c8f,2021-05-21,9,455.56,29,12.52,2,3.49,4.76
845313588352393216,a98dd5b1fa13e1f7,2021-05-21,7,68.21,13,14.69,3,2.07,0.67
845308303906181126,3c5f7901ad1bd682,2021-05-21,11,93.70,23,17.17,6,3.30,1.43
845310143326588928,21ff867aec6e8a49,2021-05-21,21,94.81,26,18.25,2,1.91,2.47
845723196176609283,d51490cdce9de425,2021-05-22,26,33.10,91,8.65,11,6.30,1.65
845264001337798656,0da8337fddabe53c,2021-05-21,48,350.11,185,18.00,43,2.91,20.14
845306928489041920,dd37b5cd1b153143,2021-05-21,11,111.50,34,11.16,5,2.59,1.61
845308652698611717,4cb99142aa2127fa,2021-05-21,2,125.50,10,39.90,2,2.94,0.65
845264054272270347,641a83fea8bfd7d5,2021-05-21,11,84.91,22,5.68,3,4.08,1.06
845622700547911682,7e45ad3098317916,2021-05-22,32,66.24,135,7.16,10,2.45,10.11
845357995956375552,7955cba1f713ed4c,2021-05-21,30,88.48,129,8.33,19,2.47,3.73
845311155672850435,d20475194fc4ddb8,2021-05-21,2,229.81,10,30.10,1,4.16,0.76
845264920225918976,d6d268a9c1ff4135,2021-05-21,85,66.93,301,6.28,32,2.60,16.37
845349975199723520,0f6f0c1c08de1b9f,2021-05-21,53,61.15,261,10.08,42,3.06,5.87
845337349623263239,443bd4e1eb153ca1,2021-05-21,21,307.40,73,25.10,6,2.47,8.29
845299674275000321,c45c731a2e3911cb,2021-05-21,7,227.14,20,36.50,2,3.49,2.32
845310217977470976,a7175fe5eae3b2e0,2021-05-21,22,89.27,36,8.40,2,3.06,2.27
845266280491393024,c569968f120b37ef,2021-05-21,31,70.00,84,6.00,6,3.49,2.67
845627818861277184,f41eaab518b7406e,2021-05-22,8,118.63,22,5.32,5,2.45,2.90
845696445331017728,f25640448863a1c9,2021-05-22,10,130.55,42,8.12,5,3.33,1.65
845309712246910979,dc7496d452ae1a29,2021-05-21,46,92.14,177,16.28,25,3.67,7.12
845711192946782211,3bac9229219a1aed,2021-05-22,11,126.81,16,7.50,2,3.26,1.69
845399048816570369,a7114a8a15d1f38e,2021-05-21,20,200.02,18,11.94,2,3.62,4.80
845360663238422528,ba5178081a9e84cc,2021-05-21,48,73.34,231,7.32,40,3.62,5.21
